ID,Name,Quantity,Weight,Locations,Warehouse
1,Desk,1,50,0.0.0.R,Warehouse1
2,Monitor,1,10,0.0.1.R,Warehouse1
6,Pencil,2,1,0.3.2.R,Warehouse1
9,Clone Trooper,1,2,0.5.1.R,Warehouse1
10,IPhone,3,3,0.6.3.L,Warehouse1
11,Cellphone Case,7,1,0.7.2.R,Warehouse1
12,Keyboard,10,4,0.8.3.L,Warehouse1
13,Pillow,8,6,0.9.2.L,Warehouse1
14,Yeezies,5,2,0.10.3.R,Warehouse1
45,HElay,8,12,0.0.2.R,Warehouse1
45,HElay,2,12,0.0.3.R,Warehouse1
15,Trash Bin,1,7,1.0.0.R,Warehouse1
16,Mouse,1,1,1.0.1.R,Warehouse1
17,USB Cable,1,1,1.1.3.L,Warehouse1
18,Painting,4,10,1.2.4.R,Warehouse1
19,Window,3,25,1.3.4.L,Warehouse1
20,Java Tutorial,4,1,1.3.2.R,Warehouse1
21,Book,6,4,1.4.0.L,Warehouse1
22,Kindle,2,1,1.4.0.R,Warehouse1
23,The Office,1,1,1.5.1.R,Warehouse1
24,Barbie,1,2,1.6.3.L,Warehouse1
25,DE1-SOC,2,5,1.7.2.R,Warehouse1
26,Track Pants,2,2,1.8.3.L,Warehouse1
47,Item2Testing,1,1,1.0.2.R,Warehouse1
48,Heavy,4,15,1.0.3.R,Warehouse1
48,Heavy,4,15,1.0.4.R,Warehouse1
27,MatLab Subscription,4,1,2.0.0.R,Warehouse1
28,Pizza,3,2,2.0.1.R,Warehouse1
29,Paint Brush,3,2,2.1.3.L,Warehouse1
30,Kinder Surpise,12,1,2.2.4.R,Warehouse1
31,Chicken Nuggets,4,8,2.3.4.L,Warehouse1
32,Fossil,0,100,2.3.2.R,Warehouse1
33,Watch,2,1,2.4.0.L,Warehouse1
34,Infinity Gauntlet,3,20,2.4.0.R,Warehouse1
35,Matric: Reloaded,4,1,2.5.1.R,Warehouse1
36,Refridgerator,3,50,2.6.3.L,Warehouse1
37,Avacados,6,1,2.7.2.R,Warehouse1
38,Napkin,2,1,2.8.3.L,Warehouse1
39,Toothbrush,2,1,3.0.0.R,Warehouse1
40,Shower Curtains,1,2,3.0.1.R,Warehouse1
41,Dog Brush,5,1,3.1.3.L,Warehouse1
42,Tablet,6,3,3.2.4.R,Warehouse1
43,Computer,7,15,3.3.4.L,Warehouse1
44,Blanket,2,3,3.3.2.R,Warehouse1
45,Banana,1,2,3.4.0.L,Warehouse1
46,Pickle,8,1,3.4.0.R,Warehouse1
2,Samsumg,4,10,0.0.0.R,Warehouse2
47,Pickle,16,1,3.4.0.R,Warehouse2
